Nom de l'aliment,Code de l'échantillon,Description du produit,Groupe d'aliment,Pays d'origine,Utilisation prévue,Type d'échantillon,Sous-échantillon,Date de l'échantillonnage,Raison de l'échantillonnage,Code d'indication de maladie humaine,Type de Point d'échantillonnage,Nom de la ville du Point d'échantillonnage,Province du Point d'échantillonnage,Pays du Point d'échantillonnage,Nom du laboratoire,Date de la fin de l'analyse,Opérateur des résultats quantitatifs,Valeur du résultat,Unités de mesure,Nom de l'analyte,Groupe de l'analyte,Limite de détection,Limite de quantification,Limite de détection de la méthode,Récupération (%),Base de résultat,Assurance de la qualité,Commentaires sur le résultat,Nom de la méthode d'essai,Code de la méthode d'essai,Instrumentation,Commentaires sur la méthode,Code du projet,Nom du projet,Description du projet,Organisation
Abats,TDS2013-BB10-DEHA & Phthalates,BB10 Organ meats (beef or veal liver)/Abats (foie de bœuf ou de veau),"Viande fraîche, volaille et gibier, hachée",Inconnu,Prêt-à-manger,Composite,Oui,2013-09-15,Surveillance,Non,Épicerie,Montréal,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2015-03-11,<LOD/MDL,0,ng/g,Dibenzyle phtalate,Phtalates ,,,5.47,,Tel que consommé,Laboratoire utilisant uniquement l'assurance de la qualité et des normes de référence lors de l'échantillonnage et l'analyse,,Analyse GC-MS du phthalates dans les aliments,,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2013.DEHA.Phthalates,Étude sur l'alimentation totale 2013 DEHA & Phthalates,,Santé Canada
Abats,TDS2013-BB10-DEHA & Phthalates,BB10 Organ meats (beef or veal liver)/Abats (foie de bœuf ou de veau),"Viande fraîche, volaille et gibier, hachée",Inconnu,Prêt-à-manger,Composite,Oui,2013-09-15,Surveillance,Non,Épicerie,Montréal,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2015-03-11,<LOD/MDL,0,ng/g,Dicyclohexyl phtalate,Phtalates ,,,1.77,,Tel que consommé,Laboratoire utilisant uniquement l'assurance de la qualité et des normes de référence lors de l'échantillonnage et l'analyse,,Analyse GC-MS du phthalates dans les aliments,,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2013.DEHA.Phthalates,Étude sur l'alimentation totale 2013 DEHA & Phthalates,,Santé Canada
Abats,TDS2013-BB10-DEHA & Phthalates,BB10 Organ meats (beef or veal liver)/Abats (foie de bœuf ou de veau),"Viande fraîche, volaille et gibier, hachée",Inconnu,Prêt-à-manger,Composite,Oui,2013-09-15,Surveillance,Non,Épicerie,Montréal,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2015-03-11,<LOD/MDL,0,ng/g,Didécyl phtalate,Phtalates ,,,4.05,,Tel que consommé,Laboratoire utilisant uniquement l'assurance de la qualité et des normes de référence lors de l'échantillonnage et l'analyse,,Analyse GC-MS du phthalates dans les aliments,,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2013.DEHA.Phthalates,Étude sur l'alimentation totale 2013 DEHA & Phthalates,,Santé Canada
Abats,TDS2013-BB10-DEHA & Phthalates,BB10 Organ meats (beef or veal liver)/Abats (foie de bœuf ou de veau),"Viande fraîche, volaille et gibier, hachée",Inconnu,Prêt-à-manger,Composite,Oui,2013-09-15,Surveillance,Non,Épicerie,Montréal,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2015-03-11,<LOD/MDL,0,ng/g,Dihexyl phtalate,Phtalates ,,,0.25,,Tel que consommé,Laboratoire utilisant uniquement l'assurance de la qualité et des normes de référence lors de l'échantillonnage et l'analyse,,Analyse GC-MS du phthalates dans les aliments,,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2013.DEHA.Phthalates,Étude sur l'alimentation totale 2013 DEHA & Phthalates,,Santé Canada
Abats,TDS2013-BB10-DEHA & Phthalates,BB10 Organ meats (beef or veal liver)/Abats (foie de bœuf ou de veau),"Viande fraîche, volaille et gibier, hachée",Inconnu,Prêt-à-manger,Composite,Oui,2013-09-15,Surveillance,Non,Épicerie,Montréal,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2015-03-11,<LOD/MDL,0,ng/g,Dinonyle phtalate,Phtalates ,,,0.92,,Tel que consommé,Laboratoire utilisant uniquement l'assurance de la qualité et des normes de référence lors de l'échantillonnage et l'analyse,,Analyse GC-MS du phthalates dans les aliments,,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2013.DEHA.Phthalates,Étude sur l'alimentation totale 2013 DEHA & Phthalates,,Santé Canada
Abats,TDS2013-BB10-DEHA & Phthalates,BB10 Organ meats (beef or veal liver)/Abats (foie de bœuf ou de veau),"Viande fraîche, volaille et gibier, hachée",Inconnu,Prêt-à-manger,Composite,Oui,2013-09-15,Surveillance,Non,Épicerie,Montréal,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2015-03-11,<LOD/MDL,0,ng/g,Dipentyle phtalate,Phtalates ,,,1.18,,Tel que consommé,Laboratoire utilisant uniquement l'assurance de la qualité et des normes de référence lors de l'échantillonnage et l'analyse,,Analyse GC-MS du phthalates dans les aliments,,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2013.DEHA.Phthalates,Étude sur l'alimentation totale 2013 DEHA & Phthalates,,Santé Canada
Abats,TDS2013-BB10-DEHA & Phthalates,BB10 Organ meats (beef or veal liver)/Abats (foie de bœuf ou de veau),"Viande fraîche, volaille et gibier, hachée",Inconnu,Prêt-à-manger,Composite,Oui,2013-09-15,Surveillance,Non,Épicerie,Montréal,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2015-03-11,<LOD/MDL,0,ng/g,Dipropyle phtalate,Phtalates ,,,0.51,,Tel que consommé,Laboratoire utilisant uniquement l'assurance de la qualité et des normes de référence lors de l'échantillonnage et l'analyse,,Analyse GC-MS du phthalates dans les aliments,,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2013.DEHA.Phthalates,Étude sur l'alimentation totale 2013 DEHA & Phthalates,,Santé Canada
Abats,TDS2013-BB10-DEHA & Phthalates,BB10 Organ meats (beef or veal liver)/Abats (foie de bœuf ou de veau),"Viande fraîche, volaille et gibier, hachée",Inconnu,Prêt-à-manger,Composite,Oui,2013-09-15,Surveillance,Non,Épicerie,Montréal,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2015-03-11,<LOD/MDL,0,ng/g,Diundécyl phtalate,Phtalates ,,,3.23,,Tel que consommé,Laboratoire utilisant uniquement l'assurance de la qualité et des normes de référence lors de l'échantillonnage et l'analyse,,Analyse GC-MS du phthalates dans les aliments,,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2013.DEHA.Phthalates,Étude sur l'alimentation totale 2013 DEHA & Phthalates,,Santé Canada
Abats,TDS2013-BB10-DEHA & Phthalates,BB10 Organ meats (beef or veal liver)/Abats (foie de bœuf ou de veau),"Viande fraîche, volaille et gibier, hachée",Inconnu,Prêt-à-manger,Composite,Oui,2013-09-15,Surveillance,Non,Épicerie,Montréal,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2015-03-11,<LOD/MDL,0,ng/g,Phtalate de di -n- butyle,Phtalates ,,,8.31,,Tel que consommé,Laboratoire utilisant uniquement l'assurance de la qualité et des normes de référence lors de l'échantillonnage et l'analyse,,Analyse GC-MS du phthalates dans les aliments,,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2013.DEHA.Phthalates,Étude sur l'alimentation totale 2013 DEHA & Phthalates,,Santé Canada
Abats,TDS2013-BB10-DEHA & Phthalates,BB10 Organ meats (beef or veal liver)/Abats (foie de bœuf ou de veau),"Viande fraîche, volaille et gibier, hachée",Inconnu,Prêt-à-manger,Composite,Oui,2013-09-15,Surveillance,Non,Épicerie,Montréal,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2015-03-11,<LOD/MDL,0,ng/g,Phtalate de diisobutyle,Phtalates ,,,2.95,,Tel que consommé,Laboratoire utilisant uniquement l'assurance de la qualité et des normes de référence lors de l'échantillonnage et l'analyse,,Analyse GC-MS du phthalates dans les aliments,,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2013.DEHA.Phthalates,Étude sur l'alimentation totale 2013 DEHA & Phthalates,,Santé Canada
Abats,TDS2013-BB10-DEHA & Phthalates,BB10 Organ meats (beef or veal liver)/Abats (foie de bœuf ou de veau),"Viande fraîche, volaille et gibier, hachée",Inconnu,Prêt-à-manger,Composite,Oui,2013-09-15,Surveillance,Non,Épicerie,Montréal,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2015-03-11,<LOD/MDL,0,ng/g,Phtalate de diméthyle,Phtalates ,,,0.34,,Tel que consommé,Laboratoire utilisant uniquement l'assurance de la qualité et des normes de référence lors de l'échantillonnage et l'analyse,,Analyse GC-MS du phthalates dans les aliments,,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2013.DEHA.Phthalates,Étude sur l'alimentation totale 2013 DEHA & Phthalates,,Santé Canada
Abats,TDS2013-BB10-DEHA & Phthalates,BB10 Organ meats (beef or veal liver)/Abats (foie de bœuf ou de veau),"Viande fraîche, volaille et gibier, hachée",Inconnu,Prêt-à-manger,Composite,Oui,2013-09-15,Surveillance,Non,Épicerie,Montréal,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2015-03-11,<LOD/MDL,0,ng/g,Phtalate de diéthyle,Phtalates ,,,4.22,,Tel que consommé,Laboratoire utilisant uniquement l'assurance de la qualité et des normes de référence lors de l'échantillonnage et l'analyse,,Analyse GC-MS du phthalates dans les aliments,,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2013.DEHA.Phthalates,Étude sur l'alimentation totale 2013 DEHA & Phthalates,,Santé Canada
"Agneau, côtelettes",TDS2013-BB07-DEHA & Phthalates,BB07 Lamb (lamb chops)/Agneau (côtelettes d’agneau),Agneau ,Inconnu,Prêt-à-manger,Composite,Oui,2013-09-15,Surveillance,Non,Épicerie,Montréal,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2015-03-11,<LOD/MDL,0,ng/g,Bis ( 2-méthoxyéthyle ) phthalate,Phtalates ,,,11.85,,Tel que consommé,Laboratoire utilisant uniquement l'assurance de la qualité et des normes de référence lors de l'échantillonnage et l'analyse,,Analyse GC-MS du phthalates dans les aliments,,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2013.DEHA.Phthalates,Étude sur l'alimentation totale 2013 DEHA & Phthalates,,Santé Canada
"Agneau, côtelettes",TDS2013-BB07-DEHA & Phthalates,BB07 Lamb (lamb chops)/Agneau (côtelettes d’agneau),Agneau ,Inconnu,Prêt-à-manger,Composite,Oui,2013-09-15,Surveillance,Non,Épicerie,Montréal,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2015-03-11,<LOD/MDL,0,ng/g,Bis ( 2-n- butoxyéthyle ) phthalate,Phtalates ,,,6.54,,Tel que consommé,Laboratoire utilisant uniquement l'assurance de la qualité et des normes de référence lors de l'échantillonnage et l'analyse,,Analyse GC-MS du phthalates dans les aliments,,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2013.DEHA.Phthalates,Étude sur l'alimentation totale 2013 DEHA & Phthalates,,Santé Canada
"Agneau, côtelettes",TDS2013-BB07-DEHA & Phthalates,BB07 Lamb (lamb chops)/Agneau (côtelettes d’agneau),Agneau ,Inconnu,Prêt-à-manger,Composite,Oui,2013-09-15,Surveillance,Non,Épicerie,Montréal,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2015-03-11,<LOD/MDL,0,ng/g,Bis (2- éthoxyéthyle ) phthalate,Phtalates ,,,4.67,,Tel que consommé,Laboratoire utilisant uniquement l'assurance de la qualité et des normes de référence lors de l'échantillonnage et l'analyse,,Analyse GC-MS du phthalates dans les aliments,,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2013.DEHA.Phthalates,Étude sur l'alimentation totale 2013 DEHA & Phthalates,,Santé Canada
"Agneau, côtelettes",TDS2013-BB07-DEHA & Phthalates,BB07 Lamb (lamb chops)/Agneau (côtelettes d’agneau),Agneau ,Inconnu,Prêt-à-manger,Composite,Oui,2013-09-15,Surveillance,Non,Épicerie,Montréal,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2015-03-11,<LOD/MDL,0,ng/g,Butylbenzylphtalate,Phtalates ,,,5.82,,Tel que consommé,Laboratoire utilisant uniquement l'assurance de la qualité et des normes de référence lors de l'échantillonnage et l'analyse,,Analyse GC-MS du phthalates dans les aliments,,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2013.DEHA.Phthalates,Étude sur l'alimentation totale 2013 DEHA & Phthalates,,Santé Canada
"Agneau, côtelettes",TDS2013-BB07-DEHA & Phthalates,BB07 Lamb (lamb chops)/Agneau (côtelettes d’agneau),Agneau ,Inconnu,Prêt-à-manger,Composite,Oui,2013-09-15,Surveillance,Non,Épicerie,Montréal,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2015-03-11,<LOD/MDL,0,ng/g,Di -n- octyle phtalate,Phtalates ,,,1.4,,Tel que consommé,Laboratoire utilisant uniquement l'assurance de la qualité et des normes de référence lors de l'échantillonnage et l'analyse,,Analyse GC-MS du phthalates dans les aliments,,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2013.DEHA.Phthalates,Étude sur l'alimentation totale 2013 DEHA & Phthalates,,Santé Canada
"Agneau, côtelettes",TDS2013-BB07-DEHA & Phthalates,BB07 Lamb (lamb chops)/Agneau (côtelettes d’agneau),Agneau ,Inconnu,Prêt-à-manger,Composite,Oui,2013-09-15,Surveillance,Non,Épicerie,Montréal,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2015-03-11,<LOD/MDL,0,ng/g,Di-allyl phtalate,Phtalates ,,,26.19,,Tel que consommé,Laboratoire utilisant uniquement l'assurance de la qualité et des normes de référence lors de l'échantillonnage et l'analyse,,Analyse GC-MS du phthalates dans les aliments,,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2013.DEHA.Phthalates,Étude sur l'alimentation totale 2013 DEHA & Phthalates,,Santé Canada
"Agneau, côtelettes",TDS2013-BB07-DEHA & Phthalates,BB07 Lamb (lamb chops)/Agneau (côtelettes d’agneau),Agneau ,Inconnu,Prêt-à-manger,Composite,Oui,2013-09-15,Surveillance,Non,Épicerie,Montréal,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2015-03-11,<LOD/MDL,0,ng/g,Le bis (4 -méthyl-2 -pentyle ) phtalate,Phtalates ,,,8.99,,Tel que consommé,Laboratoire utilisant uniquement l'assurance de la qualité et des normes de référence lors de l'échantillonnage et l'analyse,,Analyse GC-MS du phthalates dans les aliments,,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2013.DEHA.Phthalates,Étude sur l'alimentation totale 2013 DEHA & Phthalates,,Santé Canada
"Agneau, côtelettes",TDS2011-BB07-DEHA,BB07 Lamb (lamb chops)/Agneau (côtelettes d’agneau),Agneau ,Inconnu,,Composite,Oui,2011-09-15,Surveillance,Non,Épicerie,Ottawa,Ontario,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2014-11-03,=,1.223627535,µg/g,Di-(2-ethylhexyl) adipate (DEHA),Phtalates ,0,,,,Tel que consommé,Laboratoire utilisant uniquement l'assurance de la qualité et des normes de référence lors de l'échantillonnage et l'analyse,LODs reported as zero are above LOD,Analyse GC-MS du phthalates dans les aliments,,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),LODs vary depending on weight of sample analysed.,BCS.TDS2011.DEHA,Étude sur l'alimentation totale 2011 DEHA,,Santé Canada
"Agneau, côtelettes",TDS2013-BB07-DEHA & Phthalates,BB07 Lamb (lamb chops)/Agneau (côtelettes d’agneau),Agneau ,Inconnu,Prêt-à-manger,Composite,Oui,2013-09-15,Surveillance,Non,Épicerie,Montréal,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2015-03-11,=,1046,ng/g,Di-(2-ethylhexyl) adipate (DEHA),Phtalates ,,,2.1,,Tel que consommé,Laboratoire utilisant uniquement l'assurance de la qualité et des normes de référence lors de l'échantillonnage et l'analyse,,Analyse GC-MS du phthalates dans les aliments,,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2013.DEHA.Phthalates,Étude sur l'alimentation totale 2013 DEHA & Phthalates,,Santé Canada
"Agneau, côtelettes",TDS2013-BB07-DEHA & Phthalates,BB07 Lamb (lamb chops)/Agneau (côtelettes d’agneau),Agneau ,Inconnu,Prêt-à-manger,Composite,Oui,2013-09-15,Surveillance,Non,Épicerie,Montréal,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2015-03-11,=,161,ng/g,Di-(2-ethylhexyl) phthalate (DEHP),Phtalates ,,,19.41,,Tel que consommé,Laboratoire utilisant uniquement l'assurance de la qualité et des normes de référence lors de l'échantillonnage et l'analyse,,Analyse GC-MS du phthalates dans les aliments,,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2013.DEHA.Phthalates,Étude sur l'alimentation totale 2013 DEHA & Phthalates,,Santé Canada
"Agneau, côtelettes",TDS2013-BB07-DEHA & Phthalates,BB07 Lamb (lamb chops)/Agneau (côtelettes d’agneau),Agneau ,Inconnu,Prêt-à-manger,Composite,Oui,2013-09-15,Surveillance,Non,Épicerie,Montréal,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2015-03-11,<LOD/MDL,0,ng/g,Dibenzyle phtalate,Phtalates ,,,7.06,,Tel que consommé,Laboratoire utilisant uniquement l'assurance de la qualité et des normes de référence lors de l'échantillonnage et l'analyse,,Analyse GC-MS du phthalates dans les aliments,,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2013.DEHA.Phthalates,Étude sur l'alimentation totale 2013 DEHA & Phthalates,,Santé Canada
