Nom de l'aliment,Code de l'échantillon,Description du produit,Groupe d'aliment,Pays d'origine,Type d'échantillon,Sous-échantillon,Date de l'échantillonnage,Raison de l'échantillonnage,Code d'indication de maladie humaine,Type de Point d'échantillonnage,Nom de la ville du Point d'échantillonnage,Province du Point d'échantillonnage,Pays du Point d'échantillonnage,Nom du laboratoire,Date de la fin de l'analyse,Opérateur des résultats quantitatifs,Valeur du résultat,Unités de mesure,Nom de l'analyte,Groupe de l'analyte,Limite de détection,Limite de quantification,Limite de détection de la méthode,Récupération (%),Base de résultat,Assurance de la qualité,Commentaires sur le résultat,Nom de la méthode d'essai,Code de la méthode d'essai,Instrumentation,Commentaires sur la méthode,Code du projet,Nom du projet,Description du projet,Organisation
"Aliments pour bébé, Dîners céréales, légumes, viande",TDS2009-LL03-BPA,,Aliments pour bébés,Inconnu,Composite,Oui,2009-01-01,Surveillance,Non,épicerie,Calgary,Alberta,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2009-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,1,3.3,,95.499,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2009.BPA,étude sur l'alimentation totale 2009 Bisphénol A,,Santé Canada
"Aliments pour bébé, Dîners céréales, légumes, viande",TDS2010-LL03-BPA,,Aliments pour bébés,Inconnu,Composite,Oui,2010-01-01,Surveillance,Non,épicerie,St. John's,Terre-Neuve et Labrador,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2010-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,1,3.3,,95.499,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2010.BPA,étude sur l'alimentation totale 2010 Bisphénol A,,Santé Canada
"Aliments pour bébé, Dîners céréales, légumes, viande",TDS2011-LL03-BPA,,Aliments pour bébés,Inconnu,Composite,Oui,2011-01-01,Surveillance,Non,épicerie,Ottawa,Ontario,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2011-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,1,3.3,,92.988,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2011.BPA,étude sur l'alimentation totale 2011 Bisphénol A,,Santé Canada
"Aliments pour bébé, Dîners céréales, légumes, viande",TDS2012-LL03-BPA,,Aliments pour bébés,Inconnu,Composite,Oui,2012-01-01,Surveillance,Non,épicerie,Vancouver,Colombie-Britannique,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2012-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,1,3.3,,92.988,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2012.BPA,étude sur l'alimentation totale 2012 Bisphénol A,,Santé Canada
"Aliments pour bébé, Dîners céréales, légumes, viande",TDS2016-LL03-BPA,"LL03 Dinners, cereal + vegetable + meat (Babyfood)/Repas : céréale + légume + viande (aliments pour bébés)",Aliments pour bébés,Inconnu,Composite,Oui,2016-01-01,Surveillance,Non,épicerie,Québec,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2016-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,,,1.332616551,92.988,Tel que consommé,Laboratoire participanté avec succès à  des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2016.BPA,étude sur l'alimentation totale 2016 Bisphénol A,,Santé Canada
"Aliments pour bébé, Dîners, viande ou volaille et légumes",TDS2009-LL04-BPA,,Aliments pour bébés,Inconnu,Composite,Oui,2009-01-01,Surveillance,Non,épicerie,Calgary,Alberta,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2009-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,1,3.3,,92.988,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2009.BPA,étude sur l'alimentation totale 2009 Bisphénol A,,Santé Canada
"Aliments pour bébé, Dîners, viande ou volaille et légumes",TDS2010-LL04-BPA,,Aliments pour bébés,Inconnu,Composite,Oui,2010-01-01,Surveillance,Non,épicerie,St. John's,Terre-Neuve et Labrador,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2010-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,1,3.3,,93.4,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2010.BPA,étude sur l'alimentation totale 2010 Bisphénol A,,Santé Canada
"Aliments pour bébé, Dîners, viande ou volaille et légumes",TDS2011-LL04-BPA,,Aliments pour bébés,Inconnu,Composite,Oui,2011-01-01,Surveillance,Non,épicerie,Ottawa,Ontario,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2011-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,1,3.3,,93.4,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2011.BPA,étude sur l'alimentation totale 2011 Bisphénol A,,Santé Canada
"Aliments pour bébé, Dîners, viande ou volaille et légumes",TDS2012-LL04-BPA,,Aliments pour bébés,Inconnu,Composite,Oui,2012-01-01,Surveillance,Non,épicerie,Vancouver,Colombie-Britannique,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2012-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,1,3.3,,92.988,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2012.BPA,étude sur l'alimentation totale 2012 Bisphénol A,,Santé Canada
"Aliments pour bébé, Dîners, viande ou volaille et légumes",TDS2016-LL04-BPA,"LL04 Dinners, meat or poultry + vegetable (Babyfood)/Repas : viande ou volaille + légume (aliments pour bébés)",Aliments pour bébés,Inconnu,Composite,Oui,2016-01-01,Surveillance,Non,épicerie,Québec,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2016-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,,,2.374643078,92.988,Tel que consommé,Laboratoire participanté avec succès à  des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2016.BPA,étude sur l'alimentation totale 2016 Bisphénol A,,Santé Canada
"Aliments pour bébé, Dîners, viande ou volaille ou oeufs",TDS2009-LL08-BPA,,Aliments pour bébés,Inconnu,Composite,Oui,2009-01-01,Surveillance,Non,épicerie,Calgary,Alberta,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2009-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,1,3.3,,92.988,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2009.BPA,étude sur l'alimentation totale 2009 Bisphénol A,,Santé Canada
"Aliments pour bébé, Dîners, viande ou volaille ou oeufs",TDS2010-LL08-BPA,,Aliments pour bébés,Inconnu,Composite,Oui,2010-01-01,Surveillance,Non,épicerie,St. John's,Terre-Neuve et Labrador,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2010-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,1,3.3,,92.988,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2010.BPA,étude sur l'alimentation totale 2010 Bisphénol A,,Santé Canada
"Aliments pour bébé, Dîners, viande ou volaille ou oeufs",TDS2011-LL08-BPA,,Aliments pour bébés,Inconnu,Composite,Oui,2011-01-01,Surveillance,Non,épicerie,Ottawa,Ontario,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2011-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,1,3.3,,95.499,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2011.BPA,étude sur l'alimentation totale 2011 Bisphénol A,,Santé Canada
"Aliments pour bébé, Dîners, viande ou volaille ou oeufs",TDS2012-LL08-BPA,,Aliments pour bébés,Inconnu,Composite,Oui,2012-01-01,Surveillance,Non,épicerie,Vancouver,Colombie-Britannique,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2012-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,1,3.3,,95.499,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2012.BPA,étude sur l'alimentation totale 2012 Bisphénol A,,Santé Canada
"Aliments pour bébé, Dîners, viande ou volaille ou oeufs",TDS2016-LL08-BPA,"LL08 Meat, poultry or eggs (Babyfood)/Viande, volaille ou oeufs (aliments pour bébés)",Aliments pour bébés,Inconnu,Composite,Oui,2016-01-01,Surveillance,Non,épicerie,Québec,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2016-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,,,1.790787999,95.499,Tel que consommé,Laboratoire participanté avec succès à  des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2016.BPA,étude sur l'alimentation totale 2016 Bisphénol A,,Santé Canada
Asperges,TDS2009-GG23-BPA,,"Légumes frais, autres",Inconnu,Composite,Oui,2009-01-01,Surveillance,Non,épicerie,Calgary,Alberta,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2009-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,95.499,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2009.BPA,étude sur l'alimentation totale 2009 Bisphénol A,,Santé Canada
Asperges,TDS2010-GG23-BPA,,"Légumes frais, autres",Inconnu,Composite,Oui,2010-01-01,Surveillance,Non,épicerie,St. John's,Terre-Neuve et Labrador,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2010-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,98.184,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2010.BPA,étude sur l'alimentation totale 2010 Bisphénol A,,Santé Canada
Asperges,TDS2011-GG23-BPA,,"Légumes frais, autres",Inconnu,Composite,Oui,2011-01-01,Surveillance,Non,épicerie,Ottawa,Ontario,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2011-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,98.184,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2011.BPA,étude sur l'alimentation totale 2011 Bisphénol A,,Santé Canada
Asperges,TDS2012-GG23-BPA,,"Légumes frais, autres",Inconnu,Composite,Oui,2012-01-01,Surveillance,Non,épicerie,Vancouver,Colombie-Britannique,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2012-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,98.184,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2012.BPA,étude sur l'alimentation totale 2012 Bisphénol A,,Santé Canada
Asperges,TDS2016-GG23-BPA,GG23 Asparagus (Cooked asparagus)/Asperges (asperges cuites),"Légumes frais, autres",Inconnu,Composite,Oui,2016-01-01,Surveillance,Non,épicerie,Québec,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2016-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,,,0.524145975,98.184,Tel que consommé,Laboratoire participanté avec succès à  des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2016.BPA,étude sur l'alimentation totale 2016 Bisphénol A,,Santé Canada
Barres de chocolat,TDS2009-JJ01-BPA,,Solide ,Inconnu,Composite,Oui,2009-01-01,Surveillance,Non,épicerie,Calgary,Alberta,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2009-01-01,=,0.56,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,93.4,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2009.BPA,étude sur l'alimentation totale 2009 Bisphénol A,,Santé Canada
Barres de chocolat,TDS2010-JJ01-BPA,,Solide ,Inconnu,Composite,Oui,2010-01-01,Surveillance,Non,épicerie,St. John's,Terre-Neuve et Labrador,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2010-01-01,=,0.72,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,93.4,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2010.BPA,étude sur l'alimentation totale 2010 Bisphénol A,,Santé Canada
Barres de chocolat,TDS2011-JJ01-BPA,,Solide ,Inconnu,Composite,Oui,2011-01-01,Surveillance,Non,épicerie,Ottawa,Ontario,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2011-01-01,=,0.73,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,97.92,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2011.BPA,étude sur l'alimentation totale 2011 Bisphénol A,,Santé Canada
Barres de chocolat,TDS2012-JJ01-BPA,,Solide ,Inconnu,Composite,Oui,2012-01-01,Surveillance,Non,épicerie,Vancouver,Colombie-Britannique,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2012-01-01,=,0.6,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,97.92,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2012.BPA,étude sur l'alimentation totale 2012 Bisphénol A,,Santé Canada
Barres de chocolat,TDS2016-JJ01-BPA,JJ01 Chocolate bars (Plain chocolate bars)/Tablettes de chocolat (nature),Solide ,Inconnu,Composite,Oui,2016-01-01,Surveillance,Non,épicerie,Québec,Québec,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2016-01-01,<LOD/MDL,0,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,,,1.857083847,97.92,Tel que consommé,Laboratoire participanté avec succès à  des tests de compétence pertinents lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2016.BPA,étude sur l'alimentation totale 2016 Bisphénol A,,Santé Canada
Betteraves,TDS2009-GG03-BPA,"Betteraves, frais + en conserve (1:1)","Légumes frais, autres",Inconnu,Composite,Oui,2009-01-01,Surveillance,Non,épicerie,Calgary,Alberta,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2009-01-01,=,0.58,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,97.92,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2009.BPA,étude sur l'alimentation totale 2009 Bisphénol A,,Santé Canada
Betteraves,TDS2010-GG03-BPA,"Betteraves, frais + en conserve (1:1)","Légumes frais, autres",Inconnu,Composite,Oui,2010-01-01,Surveillance,Non,épicerie,St. John's,Terre-Neuve et Labrador,Canada,SC DA BIPC DRA Produits chimiques dans les emballages alimentaires,2010-01-01,=,8.1,ng/g,Bisphénol A (BPA),Produits chimiques dans les emballages alimentaires,0.38,1.3,,97.92,Tel que consommé,Laboratoire officiellement accrédité pour la méthode pertinente lors de l'échantillonnage et l'analyse,,Analyse du bisphénol A,BPA_SPE.M,Chromatographe en phase gazeuse spectromètre (GC ) - spectromètre de masse (SM),,BCS.TDS2010.BPA,étude sur l'alimentation totale 2010 Bisphénol A,,Santé Canada
